Date,Bitcoin Monthly Returns,S&P 500 Monthly Returns
09/2011,-35.52451307116936,-0.509382237226641
10/2011,-33.970484028852724,6.983576677347703
11/2011,0.8667461618721228,4.114473218323855
12/2011,48.888745139054926,4.762744576602929
01/2012,13.639030074530112,2.602033455060404
02/2012,-7.7190485614312525,2.2521267348434737
03/2012,-1.163963146418634,3.9636246903612893
04/2012,3.137365132219072,0.4404766578397501
05/2012,10.161057808594688,0.1356186125204717
06/2012,25.953990072253518,2.573746947317934
07/2012,43.890605148647865,3.9145139357239955
08/2012,6.643898730992914,-0.39903824296692036
09/2012,17.308234527528633,0.053377176945312854
10/2012,-10.420101570491891,-2.3224344127690477
11/2012,13.060911751116588,0.6341536743038834
12/2012,4.837287384462896,-0.6794146765458975
01/2013,50.47170042697407,2.416210772767191
02/2013,69.13581129340874,4.607722019759675
03/2013,194.01385787151386,6.375453643158213
04/2013,42.50952045425762,-0.1552067239063759
05/2013,-8.093301650750417,2.858334881395197
06/2013,-30.401466101571316,-1.9009637494882936
07/2013,8.160771789401156,3.5449711100702386
08/2013,30.633753603152925,-2.6026558247403853
09/2013,-3.33911340707147,1.0738757262958698
10/2013,59.61244965490611,3.553900760529549
11/2013,451.23687413408635,3.274521796389984
12/2013,-35.46824147792728,1.193515550357982
01/2014,11.93142674862575,-1.4933285156557008
02/2014,-32.7492470815705,2.326070764074384
03/2014,-17.43740881185234,1.0231995296104301
04/2014,-1.7565447351257646,0.28818531681806814
05/2014,42.36638925674016,4.175394007632738
06/2014,1.7387777963393303,1.6845117078520877
07/2014,-7.320488579753448,0.6774442922582002
08/2014,-16.504386160465113,5.506866451542658
09/2014,-14.434306505405326,3.3383667770186864
10/2014,-13.17030461808908,2.925082251152844
11/2014,11.91108519675872,3.026689445943087
12/2014,-12.457957740875102,2.557883874153344
01/2015,-27.433126521636698,4.170921138097405
02/2015,17.536097862307564,6.358900040244686
03/2015,0.6664214156710146,2.8184025976906613
04/2015,-7.223981323268114,-3.1455356371860366
05/2015,-0.9219335776040727,3.5479439835206517
06/2015,12.429400807681645,-3.855304783913316
07/2015,10.508785924874186,4.16187507377741
08/2015,-20.94501094539556,-8.11132624118197
09/2015,2.8682692333307225,-2.369892568056553
10/2015,33.53800534728988,10.266168292396305
11/2015,26.47715549398384,4.449901371475518
12/2015,11.146466500559416,-4.361638399561773
01/2016,-14.74008881183565,-5.249521229241749
02/2016,18.45888563747331,0.1585916503739737
03/2016,-8.885310954421843,2.122201585122685
04/2016,7.958865967957074,0.22933669608828922
05/2016,21.264291936521794,4.068192241832769
06/2016,26.180537648272264,0.728823347951213
07/2016,-6.697729879071224,3.58416836443467
08/2016,-8.664884839770403,-0.030440437556034095
09/2016,6.289901993138813,-0.24119390096482007
10/2016,16.847341565205,0.10431488603837025
11/2016,9.576635783390941,6.73612002753512
12/2016,31.379812714829903,2.8859151395784544
01/2017,-2.224071719023113,-0.13088881351236425
02/2017,25.413209508309453,5.521007636798836
03/2017,-10.939350648089896,-0.7637874245389198
04/2017,23.392824267730393,-1.182043406472011
05/2017,65.78269435292947,-1.222594132558108
06/2017,5.492389723690483,-1.059948883276851
07/2017,12.71997984817883,-0.6850666661189719
08/2017,64.40255812317422,-0.5250841085660873
09/2017,-8.47456206387276,2.2270296851326643
10/2017,50.877370685910385,3.81071598361431
11/2017,51.85279564515915,1.2315993039596407
12/2017,37.85482211704099,-0.10221495387123802
01/2018,-29.603971957481868,1.7873010408161472
02/2018,3.656685599081655,-1.769384146333286
03/2018,-33.41235136191947,-3.3877693199086956
04/2018,36.06367155837438,2.3948737174332546
05/2018,-16.30061112779093,5.73458666665656
06/2018,-14.469722268329798,0.9692996512952412
07/2018,20.175910236871264,3.032123292670219
08/2018,-8.502890390278283,4.011724680852047
09/2018,-5.369452916701789,1.2207850230250061
10/2018,-2.2864179627506642,-4.711257183890327
11/2018,-37.22739835863715,1.6695072366619934
12/2018,-7.7337754813279425,-9.751986766819265
01/2019,-7.892125832089092,7.656203612305146
02/2019,11.782857014809501,3.861789088021794
03/2019,9.777741016831797,3.5854746961867967
04/2019,28.830119446913006,4.206607642005911
05/2019,63.19140730024986,-5.79214216277969
06/2019,23.357055665749193,4.893548426940875
07/2019,-4.3460998185443795,3.520456749201095
08/2019,-3.8790433894196674,-0.5585997938720277
09/2019,-12.337435501239414,3.2463152046379395
10/2019,7.642752032844302,-0.26138821122337896
11/2019,-16.18721457009803,5.252954667515786
12/2019,-7.192871060085593,0.7073886352675807
01/2020,32.268153025669875,1.606899718239685
02/2020,-7.953006215772063,-7.6048702156506724
03/2020,-24.558584442251565,-12.183351864738611
04/2020,35.3463638414947,13.649262856612099
05/2020,6.935214862544936,2.3167765683703045
06/2020,-3.8512510003785083,1.4241393004287284
07/2020,17.52697153822451,-0.15697884478277357
08/2020,1.8355265674788734,6.362078911849656
09/2020,-5.690296573111753,-1.893461719515377
10/2020,28.294752141786518,-2.576053210573448
11/2020,39.232420889959286,8.334770324802165
12/2020,43.680045567426994,1.3822331790456666
01/2021,15.580605908161814,0.09154128122519367
02/2021,36.67791343561038,2.884614436209021
03/2021,34.32054073322948,7.904869344677801
04/2021,-4.617794533572351,2.2244026092045566
05/2021,-35.998208114731554,-0.28372184789273724
06/2021,-3.6677208891787383,5.064263817635961
07/2021,18.347556496097607,2.315169402190831
08/2021,14.203603218615779,3.5368720640788665
09/2021,-4.996832203233859,-2.551101622645713
10/2021,39.18665084286803,6.399660439071186
11/2021,-4.842565474748762,1.771661785605283
12/2021,-18.62034198219027,4.8229633039097
