Date,Bitcoin Monthly Returns,S&P 500 Monthly Returns
01/2022,-15.440853814550348,-3.729692725099931
02/2022,11.746020349566733,-3.366683651129443
03/2022,6.345953482148525,4.6285827388826695
04/2022,-12.905126538394274,-3.8617196012639354
05/2022,-16.976615840262767,-1.4344182134475414
06/2022,-35.300835458720336,-5.374895178915995
07/2022,19.221574192974078,11.244634832861644
08/2022,-12.290098029673457,-2.1788827163746194
09/2022,-0.6572384138109677,-6.862896241614491
10/2022,3.756919027445571,6.286167300141643
11/2022,-19.965403849693907,0.8870606952820381
12/2022,-6.356337137116497,-8.323736066645404
01/2023,37.7691035217496,4.644977683032869
02/2023,2.054955474936526,-0.4738945932728722
03/2023,20.183559879811153,1.2309816133703189
04/2023,1.674369509177498,0.58052043968706
05/2023,-4.298723505747781,3.236286774187014
06/2023,10.054945459562514,4.812120984491064
07/2023,-5.429569631686815,1.7424045192806936
08/2023,-10.020719176644121,-0.18861311334082975
09/2023,6.676848827640636,-2.3047631194323626
10/2023,28.2333257624636,-2.3331637714494646
11/2023,5.716507816071759,6.017649916213252
12/2023,10.827206039804448,3.417213604027669
01/2024,2.689366841851304,3.678927975651547
02/2024,43.85813244318986,5.446616586188435
03/2024,16.714746663137305,3.360681094165696
04/2024,-14.206209753109633,-3.2522469642737417
05/2024,9.915221480562032,3.6624947247737794
06/2024,-5.839529579151792,5.010637987630195
07/2024,1.9178696153287156,0.06748067283397496
08/2024,-10.868739501373724,0.03290353933849133
09/2024,6.30643544924121,1.1413457183385933
10/2024,14.14728570199113,1.9525331109981892
11/2024,41.480117263151975,9.077635858488975
